발생년,발생년월일시,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,발생위치X_UTMK,발생위치Y_UTMK,경도,위도,,
2012,2012080809,주간,수,1,1,0,0,0,충남,청양군,차대차,측면충돌,측면충돌,기타,교차로,교차로내,이륜차,화물차,951340,1823525,126.9572921,36.40800066,,
2012,2012102400,야간,수,1,1,0,0,0,충남,당진시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,927944,1876112,126.6914315,36.8805513,,
2012,2012042011,주간,금,1,1,0,0,0,충남,예산군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,이륜차,932105,1838076,126.7415005,36.53800224,,
2012,2012051914,주간,토,1,1,0,0,0,충남,금산군,차대차,측면충돌,측면충돌,기타,교차로,교차로부근,승용차,승용차,988859,1802614,127.3760402,36.22064715,,
2012,2012021301,야간,월,1,3,0,1,1,충남,천안시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,967913,1865814,127.1403626,36.78992707,,
2012,2012021613,주간,목,1,1,0,0,0,대전,중구,차대사람,보도통행중,보도통행중,보행자 보호의무 위반,단일로,횡단보도상,화물차,보행자,990930,1812999,127.3989625,36.31429504,,
2012,2012051908,주간,토,1,1,0,0,0,충남,서천군,차대사람,기타,기타,보행자 보호의무 위반,교차로,교차로부근,화물차,보행자,927722,1779280,126.6979789,36.00765956,,
2012,2012042419,야간,화,1,1,0,0,0,충남,예산군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,자전거,940333,1858573,126.8318215,36.72331912,,
2012,2012102204,야간,월,1,1,0,0,0,충남,보령시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,918704,1798562,126.5959328,36.18076891,,
2012,2012041309,주간,금,1,2,1,0,0,충남,홍성군,차대차,측면충돌,측면충돌,기타,교차로,교차로부근,원동기장치자전거,승용차,923590,1840095,126.6461827,36.55555882,,
2012,2012042620,야간,목,1,2,1,0,0,충남,예산군,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,승용차,화물차,940851,1855917,126.8378275,36.69940966,,
2012,2012041401,야간,토,1,1,0,0,0,충남,홍성군,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,920931,1834533,126.6170439,36.50520611,,
2012,2012042619,야간,목,1,3,1,1,0,충남,예산군,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,화물차,940074,1855847,126.829135,36.69872997,,
2012,2012052600,야간,토,1,1,0,0,0,충남,부여군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,952108,1808066,126.966808,36.26867576,,
2012,2012051310,주간,일,1,12,8,1,2,충남,천안시,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,없음,972283,1880012,127.1888256,36.91805321,,
2012,2012061620,야간,토,1,1,0,0,0,충남,연기군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,이륜차,승용차,978365,1834146,127.2584051,36.5047375,,
2012,2012032412,주간,토,1,1,0,0,0,충남,당진시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,이륜차,화물차,936182,1883213,126.7832707,36.9451535,,
2012,2012052910,주간,화,1,1,0,0,0,충남,부여군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,938624,1806123,126.8168489,36.25039636,,
2012,2012022222,야간,수,1,1,0,0,0,대전,대덕구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,993672,1819096,127.4294581,36.36928398,,
2012,2012060114,주간,금,1,4,3,0,0,충남,부여군,차량단독,전도전복,전도전복,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,945228,1796723,126.8910083,36.16605143,,
2012,2012032622,야간,월,1,1,0,0,0,충남,당진시,차대사람,횡단중,횡단중,과속,단일로,기타단일로,화물차,보행자,922748,1878359,126.6329055,36.90039921,,
2012,2012050723,야간,월,1,1,0,0,0,충남,보령시,차대차,추돌,진행중 추돌,안전거리 미확보,단일로,기타단일로,승합차,화물차,914042,1809135,126.542935,36.27567212,,
2012,2012022220,야간,수,1,1,0,0,0,대전,중구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도상,승용차,보행자,992952,1814981,127.4214691,36.33218058,,
2012,2012060118,야간,금,1,1,0,0,0,충남,금산군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1004249,1785172,127.5471821,36.0634497,,
2012,2012090420,야간,화,1,1,0,0,0,충남,청양군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,936808,1826962,126.7949456,36.43813743,,
2012,2012121604,야간,금,1,1,0,0,0,충남,보령시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,916884,1808613,126.5746276,36.27121564,,
2012,2012041902,야간,목,1,2,1,0,0,충남,홍성군,차대사람,횡단중,횡단중,과속,교차로,교차로내,화물차,보행자,924442,1842913,126.6554256,36.58102835,,
2012,2012061208,주간,화,1,4,0,3,0,충남,부여군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,건설기계,승용차,953485,1796382,126.9828316,36.16340894,,
2012,2012061214,주간,화,1,1,0,0,0,충남,부여군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,특수차,941610,1792007,126.8511334,36.12332465,,
2012,2012061323,야간,수,1,1,0,0,0,충남,부여군,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,기타/불명,기타/불명,이륜차,없음,944278,1797885,126.8803636,36.17647286,,
2012,2012050716,주간,월,1,1,0,0,0,충남,예산군,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,자전거,929737,1861758,126.712879,36.75130343,,
2012,2012070213,주간,월,1,2,0,1,0,충남,공주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,건설기계,건설기계,973051,1836417,127.198983,36.52507843,,
2012,2012060511,주간,화,1,1,0,0,0,충남,서천군,차량단독,전도전복,전도전복,안전운전 의무 불이행,기타/불명,기타/불명,이륜차,없음,918905,1794624,126.5985732,36.14528545,,
2012,2012070307,주간,화,1,2,1,0,0,세종,세종,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,기타/불명,기타/불명,승용차,없음,981548,1836927,127.2938805,36.52987789,,
2012,2012061810,주간,월,1,1,0,0,0,충남,부여군,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내,이륜차,건설기계,931157,1818124,126.732684,36.35807801,,
2012,2012070402,야간,수,1,1,0,0,0,세종,세종,차대차,추돌,진행중 추돌,중앙선 침범,단일로,기타단일로,화물차,승용차,981288,1847166,127.2907318,36.62217397,,
2012,2012051423,야간,월,1,1,0,0,0,충남,보령시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,교량위,화물차,없음,917865,1803613,126.5860755,36.22622757,,
2012,2012013107,주간,화,1,1,0,0,0,충남,천안시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,967280,1868023,127.133173,36.80981855,,
2012,2012022219,야간,수,1,1,0,0,0,충남,태안군,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,896689,1837495,126.3459831,36.52959314,,
2012,2012040511,주간,목,1,4,3,0,0,충남,당진시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내,화물차,승용차,919156,1871691,126.593301,36.83999075,,
2012,2012051410,주간,월,1,1,0,0,0,충남,보령시,차량단독,기타,기타,기타,단일로,기타단일로,화물차,없음,896464,1822874,126.3454261,36.3977838,,
2012,2012050510,주간,토,1,1,0,0,0,충남,홍성군,차대차,기타,기타,교차로 통행방법 위반,교차로,교차로내,원동기장치자전거,화물차,912463,1847472,126.5210237,36.62109807,,
